t_s,left_rpm,right_rpm,center_speed_mps,encoder_speed_fit_mps,imu_accel_mps2,encoder_accel_raw_mps2,imu_accel_fit_mps2,imu_accel_calibrated_fit_mps2,encoder_accel_fit_mps2,fitted_accel_mps2
0.71,59,59,0.20080013,0.19339643,0.106,0.15315264,-0.031962379,0.01719677,0.048020052,0.032608411
0.72,59,54,0.19229165,0.19408525,0.261,-0.085084801,-0.040392263,0.010200567,0.043458865,0.026829716
0.73,59,54,0.19229165,0.19465439,-0.311,-0.15315264,-0.050595691,0.0017324478,0.036969907,0.019351177
0.74,59,63,0.20760691,0.19513309,-0.652,0.085084801,-0.062566843,-0.0082027555,0.029234645,0.010515945
0.75,50,54,0.17697639,0.19551568,0.297,0.085084801,-0.076100334,-0.01943459,0.021258613,0.00091201148
0.76,59,59,0.20080013,0.19576445,0.663,-0.15315264,-0.090065753,-0.031024894,0.013852344,-0.0085862751
0.77,59,59,0.20080013,0.19581648,-0.586,5.5067062e-14,-0.10402038,-0.04260624,0.0071885918,-0.017708824
0.78,59,54,0.19229165,0.19565103,-0.959,0.15315264,-0.1178736,-0.054103429,0.0012287307,-0.026437349
0.79,54,59,0.19229165,0.1953204,0.304,0.068067841,-0.1312216,-0.065181316,-0.0036010123,-0.034391164
0.8,54,59,0.19229165,0.19487404,0.242,-0.01701696,-0.14279161,-0.074783601,-0.0069015665,-0.040842584
0.81,59,59,0.20080013,0.19440212,-0.543,0,-0.15124538,-0.081799625,-0.0085905714,-0.045195098
0.82,59,63,0.20760691,0.19396367,-0.475,0,-0.15644277,-0.086113089,-0.0085747467,-0.047343918
0.83,54,54,0.18378317,0.19358743,0.193,-0.1701696,-0.15862593,-0.08792496,-0.0071532202,-0.04753909
0.84,59,59,0.20080013,0.1932999,0.21,-0.15315264,-0.15713623,-0.086688613,-0.0044181061,-0.045553359
0.85,54,54,0.18378317,0.19315549,-0.268,-0.051050881,-0.15161163,-0.082103589,-0.0010064156,-0.041555002
0.86,54,59,0.19229165,0.19315791,-0.511,-0.15315264,-0.14228802,-0.074365654,0.0021131404,-0.036126257
0.87,59,59,0.20080013,0.19324976,0.021,-0.1701696,-0.13007872,-0.064232808,0.0045439674,-0.02984442
0.88,50,59,0.18548487,0.19338001,-0.383,0.085084801,-0.11618918,-0.052705482,0.0065887246,-0.023058379
0.89,54,54,0.18378317,0.1935041,0.139,0.085084801,-0.10108183,-0.040167457,0.0087142552,-0.015726601
0.9,54,54,0.18378317,0.193637,0.116,0.15315264,-0.084591422,-0.026481588,0.011132057,-0.0076747658
0.91,59,59,0.20080013,0.19380241,-0.57,0.23823744,-0.067927939,-0.012652084,0.013773349,0.0005606326
0.92,59,59,0.20080013,0.19402327,0.119,0.1701696,-0.052216852,0.00038699962,0.01661712,0.00850206
0.93,59,59,0.20080013,0.19437072,0.349,0.15315264,-0.038207032,0.012014154,0.019092445,0.015553299
0.94,54,59,0.19229165,0.19484055,-0.166,-0.10210176,-0.026513338,0.021719087,0.02017719,0.020948138
0.95,54,59,0.19229165,0.19539772,-0.28,-0.10210176,-0.017495287,0.029203427,0.01955224,0.024377834
0.96,63,59,0.20760691,0.19597748,-0.436,0.068067841,-0.011880592,0.033863224,0.017356152,0.025609688
0.97,54,54,0.18378317,0.19646787,0.608,0.15315264,-0.01054749,0.034969604,0.013937454,0.024453529
0.98,63,59,0.20760691,0.19678564,0.003,-0.085084801,-0.01278215,0.033114995,0.0094985944,0.021306795
0.99,54,59,0.19229165,0.19689665,-0.232,-0.23823744,-0.016946905,0.029658545,0.0042829568,0.016970751
1,63,59,0.20760691,0.19682614,0.265,-0.068067841,-0.022120509,0.025364822,-0.0012597086,0.012052557
1.01,54,54,0.18378317,0.19663236,0.07,0.01701696,-0.028185023,0.020331707,-0.0067201354,0.0068057859
1.02,54,54,0.18378317,0.19631542,0.066,0.085084801,-0.034641193,0.014973546,-0.011689253,0.0016421467
1.03,59,59,0.20080013,0.19589705,0.064,0.085084801,-0.041333561,0.0094193571,-0.015540209,-0.0030604257
1.04,59,59,0.20080013,0.19542213,0.113,0.16280295,-0.04923868,0.0028586706,-0.018069093,-0.007605211
1.051,63,59,0.20760691,0.19490974,-0.281,0.15280886,-0.06014081,-0.0061893212,-0.01905596,-0.01262264
1.06,54,59,0.19229165,0.19455536,-0.519,-0.14608712,-0.070514333,-0.014798607,-0.01827681,-0.016537708
1.07,54,59,0.19229165,0.19428649,0.292,-0.47647489,-0.082731497,-0.024937983,-0.016599175,-0.020768579
1.08,59,63,0.20760691,0.19416578,0.055,-0.23823744,-0.095174564,-0.035264843,-0.015404728,-0.025334785
1.09,54,50,0.17697639,0.1941496,-0.527,0,-0.1075311,-0.045519885,-0.01560593,-0.030562908
1.1,54,54,0.18378317,0.19414083,-0.705,0,-0.11862784,-0.054729391,-0.016733288,-0.03573134
1.11,59,54,0.19229165,0.19406645,0.461,0.15315264,-0.12733054,-0.061952015,-0.017854729,-0.039903372
1.12,59,54,0.19229165,0.1938917,-0.147,0.23823744,-0.13262214,-0.066343665,-0.018182683,-0.042263174
1.13,59,63,0.20760691,0.19361604,-0.458,0.085084801,-0.13397883,-0.067469623,-0.017434531,-0.042452077
1.14,54,59,0.19229165,0.19330194,0.144,-0.085084801,-0.13162756,-0.065518239,-0.015899116,-0.040708677
1.15,54,59,0.19229165,0.19302594,-0.118,-0.15315264,-0.1252018,-0.060185307,-0.013905292,-0.0370453
1.16,54,59,0.19229165,0.19279163,-0.254,0.01701696,-0.11467381,-0.051447827,-0.011637427,-0.031542627
1.17,54,54,0.18378317,0.19261216,0.333,0.085084801,-0.10082223,-0.039952008,-0.0087793022,-0.024365655
1.18,59,59,0.20080013,0.19249867,0.164,0,-0.084859145,-0.026703779,-0.0051178488,-0.015910814
1.19,59,59,0.20080013,0.19246824,-0.111,0.23823744,-0.068647936,-0.01324963,-0.00060496911,-0.0069272996
1.2,54,59,0.19229165,0.19249292,-0.728,0,-0.053676974,-0.00082479751,0.0040870839,0.0016311432
1.21,54,59,0.19229165,0.19254309,-0.293,-0.47647489,-0.041598306,0.0091996369,0.007996713,0.008598175
